Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"NVDA","NVIDIA Corp","7,659,415.00","9.01%","Common Stock","67066G104","$1,648,306,108"
"MU","Micron Technology Inc","2,112,089.00","8.62%","Common Stock","595112103","$1,577,329,186.09"
"AVGO","Broadcom Inc","3,243,335.00","7.62%","Common Stock","11135F101","$1,394,634,050"
"GOOGL","Alphabet Inc","2,417,583.00","5.30%","Common Stock","02079K305","$968,967,266.40"
"GOOG","Alphabet Inc","1,937,314.00","4.20%","Common Stock","02079K107","$769,210,523.70"
"JNJ","Johnson & Johnson","3,268,264.00","3.95%","Common Stock","478160104","$723,332,188.48"
"AMD","Advanced Micro Devices Inc","1,533,757.00","3.82%","Common Stock","007903107","$698,150,848.83"
"LRCX","Lam Research Corp","2,125,385.00","3.42%","Common Stock","512807306","$624,969,459.25"
"INTC","Intel Corp","4,924,087.00","3.36%","Common Stock","458140100","$615,116,948.04"
"XOM","Exxon Mobil Corp","3,657,450.00","2.89%","Common Stock","30231G102","$528,757,546.50"
"CAT","Caterpillar Inc","567,876.00","2.79%","Common Stock","149123101","$510,444,943.86"
"SNDK","Sandisk Corp/DE","277,289.00","2.37%","Common Stock","80004C200","$433,219,696.26"
"AMAT","Applied Materials Inc","753,283.00","1.79%","Common Stock","038222105","$328,009,549.52"
"STX","Seagate Technology Holdings PLC","409,011.00","1.75%","Common Stock","G7997R103","$320,108,369.04"
"CSCO","Cisco Systems Inc","3,205,741.00","1.69%","Common Stock","17275R102","$309,578,408.37"
"WDC","Western Digital Corp","636,221.00","1.67%","Common Stock","958102105","$305,386,080"
"GE","General Electric Co","965,523.00","1.57%","Common Stock","369604301","$286,905,159.45"
"GEV","GE Vernova Inc","262,170.00","1.49%","Common Stock","36828A101","$272,696,125.50"
"RTX","RTX Corp","1,485,570.00","1.43%","Common Stock","75513E101","$261,594,021.30"
"KLAC","KLA Corp","138,140.00","1.41%","Common Stock","482480100","$258,209,906.60"
"GS","Goldman Sachs Group Inc/The","265,822.00","1.36%","Common Stock","38141G104","$248,936,986.56"
"PM","Philip Morris International Inc","1,394,632.00","1.30%","Common Stock","718172109","$238,468,125.68"
"PLTR","Palantir Technologies Inc","1,696,553.00","1.28%","Common Stock","69608A108","$233,785,003.40"
"KO","Coca-Cola Co/The","2,929,352.00","1.26%","Common Stock","191216100","$229,719,783.84"
"NEM","Newmont Corp","1,907,036.00","1.21%","Common Stock","651639106","$222,188,764.36"
"APH","Amphenol Corp","1,669,539.00","1.17%","Common Stock","032095101","$213,751,078.17"
"GLW","Corning Inc","1,003,521.00","1.03%","Common Stock","219350105","$187,598,215.74"
"C","Citigroup Inc","1,477,329.00","1.02%","Common Stock","172967424","$186,339,370.95"
"MS","Morgan Stanley","885,763.00","0.94%","Common Stock","617446448","$171,886,100.67"
"ADI","Analog Devices Inc","376,494.00","0.86%","Common Stock","032654105","$156,817,280.88"
"GILD","Gilead Sciences Inc","1,174,763.00","0.84%","Common Stock","375558103","$154,281,624.79"
"WELL","Welltower Inc","708,737.00","0.83%","Real Estate Investment Trust","95040Q104","$152,116,222.31"
"CIEN","Ciena Corp","207,755.00","0.62%","Common Stock","171779309","$113,872,593.05"
"HWM","Howmet Aerospace Inc","407,384.00","0.60%","Common Stock","443201108","$110,270,701.12"
"SCHW","Charles Schwab Corp/The","1,206,159.00","0.59%","Common Stock","808513105","$107,263,719.87"
"CMI","Cummins Inc","149,828.00","0.56%","Common Stock","231021106","$101,815,617.40"
"PWR","Quanta Services Inc","129,658.00","0.53%","Common Stock","74762E102","$96,595,210"
"FIX","Comfort Systems USA Inc","49,418.00","0.53%","Common Stock","199908104","$96,482,220.66"
"LMT","Lockheed Martin Corp","178,488.00","0.49%","Common Stock","539830109","$90,405,956.88"
"BK","Bank of New York Mellon Corp/The","687,816.00","0.49%","Common Stock","064058100","$89,759,988"
"MO","Altria Group Inc","1,302,484.00","0.48%","Common Stock","02209S103","$88,725,210.08"
"MCK","McKesson Corp","117,722.00","0.47%","Common Stock","58155Q103","$86,653,986.98"
"GD","General Dynamics Corp","249,879.00","0.47%","Common Stock","369550108","$86,590,569.87"
"MNST","Monster Beverage Corp","967,284.00","0.46%","Common Stock","61174X109","$83,466,936.36"
"JCI","Johnson Controls International plc","593,927.00","0.45%","Common Stock","G51502105","$82,864,695.04"
"CME","CME Group Inc","283,728.00","0.44%","Common Stock","12572Q105","$79,798,500"
"PH","Parker-Hannifin Corp","88,867.00","0.43%","Common Stock","701094104","$78,276,719.61"
"LHX","L3Harris Technologies Inc","253,271.00","0.41%","Common Stock","502431109","$75,890,122.44"
"GM","General Motors Co","935,180.00","0.40%","Common Stock","37045V100","$73,692,184"
"FCX","Freeport-McMoRan Inc","1,192,821.00","0.40%","Common Stock","35671D857","$73,537,414.65"
"HCA","HCA Healthcare Inc","152,306.00","0.36%","Common Stock","40412C101","$66,282,048.14"
"NOC","Northrop Grumman Corp","118,007.00","0.35%","Common Stock","666807102","$64,847,206.64"
